# xe from the camb with planck-2018 parameters
a  tau   xe xe_a
9.5652165714969919E-006   4.3978505728345851        1.1637731485261236        1.1637731485261236
9.5739593726272674E-006   4.4018383087121826        1.1637731485261236        1.1637731485261236
9.5827102274917006E-006   4.4058296604555691        1.1637731485261236        1.1637731485261236
9.5914691436219864E-006   4.4098246313434091        1.1637731485261236        1.1637731485261236
9.6002361285571230E-006   4.4138232246573672        1.1637731485261236        1.1637731485261236
9.6090111898433099E-006   4.4178254436820570        1.1637731485261236        1.1637731485261236
9.6177943350340142E-006   4.4218312917050788        1.1637731485261236        1.1637731485261236
9.6265855716899589E-006   4.4258407720170059        1.1637731485261236        1.1637731485261236
9.6353849073791985E-006   4.4298538879114213        1.1637731485261236        1.1637731485261236
9.6441923496770097E-006   4.4338706426848695        1.1637731485261236        1.1637731485261236
9.6530079061659704E-006   4.4378910396368880        1.1637731485261236        1.1637731485261236
9.6618315844359515E-006   4.4419150820700057        1.1637731485261236        1.1637731485261236
9.6706633920841660E-006   4.4459427732897634        1.1637731485261236        1.1637731485261236
9.6795033367150996E-006   4.4499741166046789        1.1637731485261236        1.1637731485261236
9.6883514259405426E-006   4.4540091153262686        1.1637731485261236        1.1637731485261236
9.6972076673796699E-006   4.4580477727690759        1.1637731485261236        1.1637731485261236
9.7060720686589408E-006   4.4620900922506257        1.1637731485261236        1.1637731485261236
9.7149446374121670E-006   4.4661360770914591        1.1637731485261236        1.1637731485261236
9.7238253812804954E-006   4.4701857306151211        1.1637731485261236        1.1637731485261236
9.7327143079124776E-006   4.4742390561481917        1.1637731485261236        1.1637731485261236
9.7416114249639751E-006   4.4782960570202457        1.1637731485261236        1.1637731485261236
9.7505167400982374E-006   4.4823567365638821        1.1637731485261236        1.1637731485261236
9.7594302609858796E-006   4.4864210981147181        1.1637731485261236        1.1637731485261236
9.7683519953049522E-006   4.4904891450114173        1.1637731485261236        1.1637731485261236
9.7772819507408425E-006   4.4945608805956443        1.1637731485261236        1.1637731485261236
9.7862201349863580E-006   4.4986363082121050        1.1637731485261236        1.1637731485261236
9.7951665557416957E-006   4.5027154312085287        1.1637731485261236        1.1637731485261236
9.8041212207145199E-006   4.5067982529357042        1.1637731485261236        1.1637731485261236
9.8130841376198761E-006   4.5108847767474360        1.1637731485261236        1.1637731485261236
9.8220553141802383E-006   4.5149750060005749        1.1637731485261236        1.1637731485261236
9.8310347581255189E-006   4.5190689440550118        1.1637731485261236        1.1637731485261236
9.8400224771931116E-006   4.5231665942737020        1.1637731485261236        1.1637731485261236
9.8490184791278264E-006   4.5272679600226322        1.1637731485261236        1.1637731485261236
9.8580227716819242E-006   4.5313730446708380        1.1637731485261236        1.1637731485261236
9.8670353626151872E-006   4.5354818515904336        1.1637731485261236        1.1637731485261236
9.8760562596948279E-006   4.5395943841565689        1.1637731485261236        1.1637731485261236
9.8850854706955483E-006   4.5437106457474616        1.1637731485261236        1.1637731485261236
9.8941230033995297E-006   4.5478306397443813        1.1637731485261236        1.1637731485261236
9.9031688655965106E-006   4.5519543695316944        1.1637731485261236        1.1637731485261236
9.9122230650836732E-006   4.5560818384968051        1.1637731485261236        1.1637731485261236
9.9212856096657315E-006   4.5602130500302005        1.1637731485261236        1.1637731485261236
9.9303565071549110E-006   4.5643480075254343        1.1637731485261236        1.1637731485261236
9.9394357653710082E-006   4.5684867143791594        1.1637731485261236        1.1637731485261236
9.9485233921413137E-006   4.5726291739910856        1.1637731485261236        1.1637731485261236
9.9576193953006742E-006   4.5767753897640162        1.1637731485261236        1.1637731485261236
9.9667237826914727E-006   4.5809253651038269        1.1637731485261236        1.1637731485261236
9.9758365621636939E-006   4.5850791034195062        1.1637731485261236        1.1637731485261236
9.9849577415748559E-006   4.5892366081231142        1.1637731485261236        1.1637731485261236
9.9940873287900627E-006   4.5933978826298123        1.1637731485261236        1.1637731485261236
1.0003225331681969E-005   4.5975629303578431        1.1637731485261236        1.1637731485261236
1.0012371758130888E-005   4.6017317547285819        1.1637731485261236        1.1637731485261236
1.0021526616024677E-005   4.6059043591664786        1.1637731485261236        1.1637731485261236
1.0030689913258791E-005   4.6100807470990857        1.1637731485261236        1.1637731485261236
1.0039861657736354E-005   4.6142609219570900        1.1637731485261236        1.1637731485261236
1.0049041857368066E-005   4.6184448871742685        1.1637731485261236        1.1637731485261236
1.0058230520072260E-005   4.6226326461875127        1.1637731485261236        1.1637731485261236
1.0067427653774899E-005   4.6268242024368282        1.1637731485261236        1.1637731485261236
1.0076633266409639E-005   4.6310195593653614        1.1637731485261236        1.1637731485261236
1.0085847365917736E-005   4.6352187204193571        1.1637731485261236        1.1637731485261236
1.0095069960248118E-005   4.6394216890481914        1.1637731485261236        1.1637731485261236
1.0104301057357372E-005   4.6436284687043639        1.1637731485261236        1.1637731485261236
1.0113540665209807E-005   4.6478390628435262        1.1637731485261236        1.1637731485261236
1.0122788791777366E-005   4.6520534749244380        1.1637731485261236        1.1637731485261236
1.0132045445039696E-005   4.6562717084090064        1.1637731485261236        1.1637731485261236
1.0141310632984126E-005   4.6604937667622668        1.1637731485261236        1.1637731485261236
1.0150584363605754E-005   4.6647196534524227        1.1637731485261236        1.1637731485261236
1.0159866644907326E-005   4.6689493719507977        1.1637731485261236        1.1637731485261236
1.0169157484899337E-005   4.6731829257318713        1.1637731485261236        1.1637731485261236
1.0178456891599983E-005   4.6774203182732608        1.1637731485261236        1.1637731485261236
1.0187764873035272E-005   4.6816615530557701        1.1637731485261236        1.1637731485261236
1.0197081437238881E-005   4.6859066335633273        1.1637731485261236        1.1637731485261236
1.0206406592252278E-005   4.6901555632830316        1.1637731485261236        1.1637731485261236
